Age Range,Industry,Job Title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
25-34,"Accounting, Banking & Finance",Management accountant,35000,3000,GBP,United Kingdom,Unknown,Northampton,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Computing or Tech,"Manager, Technical Support",70000,7000,USD,United States,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman
55-64,Education (Primary/Secondary),Education Specialist,60000,0,USD,United States,Illinois,Moline,31 - 40 years,21 - 30 years,College degree,Woman
25-34,Engineering or Manufacturing,Process engineer,86000,8000,USD,United States,North Carolina,Sanford ,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Utilities & Telecommunications,Account handler ,25000,600,GBP,United Kingdom,Unknown,Southampton ,11 - 20 years,1 year or less,Some college,Woman
25-34,Law,Real estate attorney,95000,18000,USD,United States,Massachusetts,Newburyport,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,"Marketing, Advertising & PR",Associate marketing manager ,116000,11600,USD,United States,California,Los Angeles,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Nonprofits,Social Worker ,56000,0,USD,United States,New York,New York,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Education (Primary/Secondary),Social Studies Teacher,55000,450,USD,United States,Virginia,Manassas,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Law,General Counsel,275000,30000,USD,United States,Tennessee,Chattanooga,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Retail,Assistant Store Manager,57000,2400,CAD,Canada,Unknown,Niagara Region,8 - 10 years,5-7 years,College degree,Woman
25-34,Retail,Head Clerk,39520,3000,USD,United States ,California,Chico,8 - 10 years,2 - 4 years,PhD,Woman
35-44,Social Work,Home Resource Coordinator ,32000,0,USD,United States ,Kentucky,Louisville ,5-7 years,2 - 4 years,College degree,Woman
35-44,Health care,Medical Technologist microbiology,62000,0,USD,United States,Washington,Spokane,8 - 10 years,8 - 10 years,College degree,Woman
