JobTitle,Experience_Level,Total_Compensation
"Account Executive Officer","11 - 20 years",152000
"Account executive/broker","5-7 years",87500
"Account Executive/Office Manager","2 - 4 years",53000
"Account handler ","11 - 20 years",25600
"Account Lead","8 - 10 years",86000
"Account Management Director","21 - 30 years",165000
"Account management0","5-7 years",61000
"Account Manager","1 year or less",90000
"Account Manager","11 - 20 years",1485000
"Account manager","2 - 4 years",544650
"Account Manager","21 - 30 years",202067
"Account Manager","31 - 40 years",82830
"Account Manager","41 years or more",238000
"Account Manager","5-7 years",1052300
"account manager","8 - 10 years",1171500
"Account Manager ","11 - 20 years",580200
"Account Manager ","2 - 4 years",116000
"Account Manager ","5-7 years",100000
"Account Manager ","8 - 10 years",81000
"Account Manager (Display/Social)","2 - 4 years",33000
"Account officer","8 - 10 years",50000
"Account Operations Professional","11 - 20 years",57300
"Account Payable","8 - 10 years",35000
"Account Receivable Specialist","11 - 20 years",39500
"Account Representative","11 - 20 years",38000
"Account Representative","21 - 30 years",55260
"Account Representative - Editorial","11 - 20 years",62000
"Account Services Representative ","5-7 years",42000
"Account Specialist","11 - 20 years",55000
"Account Specialist","5-7 years",69000
"Account Supervisor","11 - 20 years",178800
"Account Supervisor","2 - 4 years",98000
"Account Supervisor","31 - 40 years",100000
"Account Supervisor","5-7 years",85000
"Account Supervisor","8 - 10 years",72500
"Account Supervisor ","8 - 10 years",90000
"Account Supervisor- PR","8 - 10 years",75000
Accountant,"11 - 20 years",317750
Accountant,"2 - 4 years",199600
Accountant,"21 - 30 years",564000
Accountant,"31 - 40 years",61000
Accountant,"5-7 years",368198
Accountant,"8 - 10 years",238500
"Accountant ","1 year or less",45000
"Accountant ","11 - 20 years",163800
"Accountant ","2 - 4 years",100400
"Accountant ","21 - 30 years",25000
"Accountant ","8 - 10 years",84000
"Accountant 1","5-7 years",45000
"Accountant II","11 - 20 years",138500
"Accountant III","21 - 30 years",56409
Accountant/Auditor,"21 - 30 years",60000
Accounting,"11 - 20 years",48500
Accounting,"5-7 years",40520
"Accounting  Tech","31 - 40 years",49355
"Accounting & AP Specialist","21 - 30 years",53000
"ACCOUNTING ADMIN","5-7 years",41600
"Accounting Analyst","11 - 20 years",47861
"Accounting Analyst","5-7 years",144360
"Accounting Analyst ","8 - 10 years",82500
"Accounting and Administration Worker","2 - 4 years",28800
"Accounting and Finance Manager","21 - 30 years",96000
"Accounting Assistant","5-7 years",104500
"Accounting Assistant ","2 - 4 years",38000
"Accounting assistant ","5-7 years",61000
"Accounting Assistant ","8 - 10 years",45000
"Accounting Associate","1 year or less",120000
"Accounting Associate (temp)","8 - 10 years",37000
"Accounting Clerk","2 - 4 years",37200
"Accounting Clerk","31 - 40 years",49840
"Accounting Clerk","8 - 10 years",103000
"Accounting Clerk ","21 - 30 years",34632
"Accounting Clerk I","8 - 10 years",39844
"Accounting Clerk/Sales Coordinator","8 - 10 years",29120
"Accounting Consultant","11 - 20 years",147709
"Accounting Coordinator","5-7 years",54000
"Accounting Director","11 - 20 years",155000
"Accounting Intern","1 year or less",30160
"Accounting Manager","11 - 20 years",1759580
"Accounting Manager","21 - 30 years",606000
"Accounting Manager","31 - 40 years",191000
"Accounting Manager","5-7 years",425600
"Accounting Manager","8 - 10 years",572500
"Accounting Manager ","21 - 30 years",108000
"Accounting manager ","31 - 40 years",80000
"accounting specialist","21 - 30 years",40000
"Accounting Specialist","5-7 years",91125
"Accounting Specialist","8 - 10 years",45000
"Accounting Specialist / H.R. Assistant","2 - 4 years",60000
"Accounting supervisor","11 - 20 years",75000
"Accounting Supervisor","21 - 30 years",68200
"Accounting Supervisor","8 - 10 years",125000
"Accounting Supervisor ","21 - 30 years",83600
"accounting support","8 - 10 years",44520
Accounting/Operations,"31 - 40 years",55500
"Accounts Executive","11 - 20 years",50700
"Accounts Manager","11 - 20 years",49025
"Accounts manager ","11 - 20 years",85000
"Accounts Payable","31 - 40 years",55000
"Accounts Payable","5-7 years",57000
"Accounts Payable ","8 - 10 years",41000
"Accounts Payable Administrator","2 - 4 years",53500
"Accounts payable Analyst ","21 - 30 years",91900
"Accounts Payable Clerk","11 - 20 years",43680
"Accounts Payable Manager","11 - 20 years",435300
"Accounts Payable Manager","8 - 10 years",101500
"Accounts Payable Manager/Junior Accountant","11 - 20 years",45000
"Accounts Payable Processor","5-7 years",40000
"Accounts Payable Specialist","11 - 20 years",52000
"Accounts Payable Specialist","21 - 30 years",80000
"Accounts Payable Specialist/Cost Accountant","11 - 20 years",52000
"Accounts Payable Supervisor","11 - 20 years",27500
"Accounts Payable Supervisor","21 - 30 years",75000
"Accounts Payable Supervisor","31 - 40 years",90000
"Accounts Payable/Accounts Receivable","5-7 years",27000
"Accounts Payable/Receivable Clerk","2 - 4 years",38700
"Accounts payables operations analyst","11 - 20 years",45000
"Accounts Receivable","5-7 years",97000
"Accounts receivable admin","8 - 10 years",35500
"Accounts Receivable Associate","31 - 40 years",48500
"Accounts receivable manager","8 - 10 years",67000
"Accounts receivable specialist","11 - 20 years",35000
"Accounts Receivable Specialist","5-7 years",45000
"Accounts receivable supervisor","31 - 40 years",62500
"Accounts Receivable/Accounts Payable","11 - 20 years",49260
"Accounts Trainee","2 - 4 years",27250
"Acquisition Editor","8 - 10 years",63000
"Acquisition program manager","2 - 4 years",61000
"Acquisitions Editor","5-7 years",72000
"Acquisitions Editor","8 - 10 years",128100
"Acquisitions Editor ","5-7 years",61000
"acquisitions editor/book editor","11 - 20 years",73000
"Acquistions and Development Manager","31 - 40 years",119000
"Active Treatment Coordinator","5-7 years",66000
"Activities Coordinator","2 - 4 years",54600
"Activities Coordinator ","8 - 10 years",34800
actor,"21 - 30 years",39000
"Actuarial analyst","1 year or less",47000
"Actuarial analyst","11 - 20 years",22000
"Actuarial Analyst","2 - 4 years",350000
"Actuarial Analyst","5-7 years",215225
"Actuarial associate ","8 - 10 years",108500
"Actuarial consultant","21 - 30 years",210000
"Actuarial Consultant","5-7 years",120000
"Actuarial developer","5-7 years",128000
"Actuarial Director","11 - 20 years",185000
"Actuarial Manager","5-7 years",143000
"Actuarial Pricing Manager","11 - 20 years",141204
"Actuarial specialist","2 - 4 years",1045000
Actuary,"11 - 20 years",245500
Actuary,"31 - 40 years",173500
Actuary,"5-7 years",126500
"Actuary 1","2 - 4 years",62000
acupuncturist,"11 - 20 years",110000
"Ad policy manager","11 - 20 years",150000
"Additive Design Engineer","5-7 years",85000
"Adivsor & Program Coordinator","5-7 years",45000
"Adjudication Specialist","8 - 10 years",69500
Adjunct,"5-7 years",20000
"Adjunct ESOL Instructor","21 - 30 years",45000
"Adjunct Faculty Librarian","11 - 20 years",97000
"Adjunct instructor","11 - 20 years",147750
"Adjunct Instructor","2 - 4 years",34200
"Adjunct Instructor","21 - 30 years",60000
"Adjunct instructor","8 - 10 years",48850
"Adjunct Professor","11 - 20 years",30000
"Adjunct professor","8 - 10 years",36000
Adjuster,"2 - 4 years",54000
Adjuster,"21 - 30 years",64000
"Adjuster and Analyst","5-7 years",76000
Admin,"1 year or less",36900
Admin,"11 - 20 years",34580
Admin,"2 - 4 years",61400
Admin,"31 - 40 years",53500
Admin,"5-7 years",21500
"Admin / Data Entry","8 - 10 years",57000
"Admin / Student Services ","11 - 20 years",42000
"Admin & accounting","41 years or more",45000
"Admin Assistant","11 - 20 years",78400
"Admin Assistant","31 - 40 years",52000
"Admin Assistant","5-7 years",90193
"Admin Assistant","8 - 10 years",90740
"Admin assistant ","21 - 30 years",60000
"Admin Assistant ","8 - 10 years",33480
"Admin Assistant II","5-7 years",55224
"Admin Assistant III","11 - 20 years",50000
"Admin Asst","5-7 years",42000
"Admin Asst to VP and Development","31 - 40 years",41000
"Admin Asst/Tech Writer","41 years or more",38250
"Admin Director ","8 - 10 years",42500
"Admin Management Coord","11 - 20 years",44640
"Admin Manager","5-7 years",26500
"Admin Support","2 - 4 years",18500
"Admin support","8 - 10 years",65200
"Admin Team Leader","11 - 20 years",29000
"Admin. Assistant","5-7 years",35000
"Admin. Assistant ","11 - 20 years",30000
"Admin/Assistant/Broker Support","5-7 years",72040
"Administratie assistant/associate","21 - 30 years",35000
Administration,"2 - 4 years",47500
"Administration ","21 - 30 years",145500
"Administration ","5-7 years",104000
"Administration and Logistics Support Assistant","1 year or less",16000
"Administration Director","21 - 30 years",83000
Administrative,"21 - 30 years",42500
"Administrative & Operations Manager ","11 - 20 years",135000
"Administrative Analyst II","31 - 40 years",99000
"Administrative Analyst II","8 - 10 years",124155
"Administrative and Communications Assistant","5-7 years",58000
"Administrative and Data Coordinator","5-7 years",46000
"Administrative Assistant","11 - 20 years",1017484
"Administrative Assistant","2 - 4 years",261144
"Administrative Assistant","21 - 30 years",415710
"Administrative Assistant","31 - 40 years",176680
"Administrative Assistant","5-7 years",670122
"Administrative Assistant","8 - 10 years",618990
"Administrative assistant ","11 - 20 years",456900
"Administrative Assistant ","2 - 4 years",184050
"Administrative Assistant ","21 - 30 years",193483
"Administrative Assistant ","31 - 40 years",96000
"Administrative Assistant ","5-7 years",115000
"Administrative Assistant ","8 - 10 years",91000
"Administrative Assistant - HR","11 - 20 years",46450
"Administrative Assistant - Intermediate","21 - 30 years",43618
"Administrative assistant (part time)","2 - 4 years",15000
"Administrative Assistant / Marketing Coordinator","8 - 10 years",53000
"Administrative Assistant & Systems Analyst","8 - 10 years",35700
"Administrative Assistant 3","11 - 20 years",101840
"Administrative Assistant I","41 years or more",53000
"Administrative Assistant II","11 - 20 years",127362
"Administrative Assistant II","2 - 4 years",35000
"administrative assistant II","21 - 30 years",50003
"Administrative Assistant III","21 - 30 years",47250
"Administrative Assistant IV","21 - 30 years",45760
"Administrative Assistant: English Instructor","11 - 20 years",31000
"Administrative assistant/ client service specialist ","11 - 20 years",52000
"Administrative Associate","11 - 20 years",87000
"Administrative Associate","5-7 years",49500
"Administrative Associate ","11 - 20 years",55000
"Administrative Asst. ","11 - 20 years",55000
"Administrative Contracting Officer","11 - 20 years",96500
"Administrative Coordinator","1 year or less",44000
"Administrative Coordinator","11 - 20 years",167462
"Administrative Coordinator","2 - 4 years",48500
"Administrative Coordinator","21 - 30 years",165520
"Administrative Coordinator","31 - 40 years",71700
"Administrative Coordinator","5-7 years",135520
"Administrative Coordinator","8 - 10 years",102000
"Administrative Coordinator ","11 - 20 years",118870
"Administrative Coordinator ","21 - 30 years",68000
"Administrative Director","11 - 20 years",71000
"Administrative Director","21 - 30 years",34320
"Administrative Judge","31 - 40 years",190000
"Administrative justice ","11 - 20 years",135000
"Administrative Law Judge","21 - 30 years",109500
"Administrative Law Specialist","11 - 20 years",125364
"Administrative Librarian","21 - 30 years",243302
"Administrative Manager","11 - 20 years",273190
"Administrative Manager","21 - 30 years",117000
"Administrative Manager","5-7 years",60000
"Administrative Manager","8 - 10 years",55000
"Administrative Manager for Education","8 - 10 years",40798
"Administrative Office Associate","31 - 40 years",62100
"Administrative Officer","21 - 30 years",117000
"Administrative Officer","8 - 10 years",80647
"Administrative Officer ","11 - 20 years",55214
"Administrative Program Specialist","11 - 20 years",61500
"Administrative Secretary","11 - 20 years",52000
"Administrative Services","21 - 30 years",63500
"Administrative Services Coordinator","11 - 20 years",52000
"Administrative Services Manager","11 - 20 years",66300
"Administrative Services Manager","31 - 40 years",87000
"Administrative Services Team Lead","21 - 30 years",63000
"Administrative Social Work Supervisor ","21 - 30 years",70000
"Administrative Specialist","11 - 20 years",45000
"Administrative Specialist","2 - 4 years",50500
"Administrative Specialist","21 - 30 years",125000
"Administrative Specialist","31 - 40 years",32676
"Administrative Specialist","5-7 years",102184
"Administrative Specialist","8 - 10 years",155500
"Administrative Staff Assistant","11 - 20 years",82000
"Administrative Supervisor","21 - 30 years",84962
"Administrative Support","11 - 20 years",51454
"Administrative Support ","11 - 20 years",58000
"Administrative Support Assistant","2 - 4 years",39940
"Administrative Support Assistant 4","21 - 30 years",47196
"Administrative Support Specialist","11 - 20 years",48000
"Administrative Support Specialist","21 - 30 years",46845
"Administrative Systems Analyst","21 - 30 years",51500
"Administrative Team Lead","11 - 20 years",25000
"Administrative Technician ","11 - 20 years",81000
"Administrative Technician III","11 - 20 years",40367
Administrator,"11 - 20 years",250700
Administrator,"2 - 4 years",138500
Administrator,"21 - 30 years",272257
Administrator,"31 - 40 years",104000
Administrator,"5-7 years",333042
"Administrator ","11 - 20 years",70000
"Administrator ","5-7 years",52234
"Administrator ","8 - 10 years",24000
"Administrator III","11 - 20 years",65000
"Administrator IV","11 - 20 years",89000
"Adminitrative Assistant","5-7 years",54500
"Admission Counselor","8 - 10 years",58000
"Admission Director","11 - 20 years",105000
"Admission Prospect Data Specialist","5-7 years",36000
"Admission Specialist","5-7 years",31200
Admissions,"21 - 30 years",37000
"Admissions & Financial Aid Counselor","11 - 20 years",65000
"Admissions Advisor","1 year or less",52500
"Admissions Advisor","8 - 10 years",108100
"Admissions Assessor ","21 - 30 years",74482
"admissions communications","21 - 30 years",50000
"Admissions Coordinator","11 - 20 years",79000
"Admissions Coordinator","5-7 years",36000
"Admissions Coordinator ","2 - 4 years",45000
"Admissions Counselor","2 - 4 years",42000
"Admissions Rep","21 - 30 years",165000
"Admitting ","5-7 years",44000
"Adult Education Coordinator","11 - 20 years",42000
"Adult Education Teacher","5-7 years",40000
"Adult Public Services Manager","21 - 30 years",60000
"Adult Services Librarian","11 - 20 years",62000
"Adult Services Librarian","5-7 years",36280
"Adult Services Librarian","8 - 10 years",107100
"Adult Services Manager","21 - 30 years",81000
"Adult Services Manager","8 - 10 years",52000
"Advanced Analytical Chemist ","5-7 years",37500
"Advanced Analytics Developer","11 - 20 years",105000
"Advanced EMT","21 - 30 years",40475
"Advanced Geophysicist ","11 - 20 years",46500
"Advanced Lead Engineer","11 - 20 years",103000
"Advanced Research Associate","5-7 years",55000
"Advanced Specialist Speech and Language Therapist","8 - 10 years",40894
"Advanced Systems Administrator","11 - 20 years",140000
"Advancement Accounting Assistant","8 - 10 years",40575
"advancement coordinator","2 - 4 years",47000
"Advertising Account Executive","5-7 years",34200
"Advertising and Events Manager","11 - 20 years",78800
"Advertising/Sales Promotion Coordinator","5-7 years",46680
"Advice Caseworker","11 - 20 years",25000
"Advice worker","11 - 20 years",23000
"Advising Dean","11 - 20 years",72500
Advisor,"11 - 20 years",108000
"Advisor ","5-7 years",87500
"Advisor Associate","2 - 4 years",77000
"Advisor to a minister","8 - 10 years",63600
"Advisory analyst","2 - 4 years",59500
"Advisory Analyst ","1 year or less",44000
"Advisory Manager","8 - 10 years",125000
"Advisory Software Engineer","21 - 30 years",138000
"Advocacy and Outreach Associate","2 - 4 years",58000
"Advocacy Manager","5-7 years",55000
"Advocate ","8 - 10 years",50000
"Aerospace Design Engineer","11 - 20 years",77000
"Aerospace Engineer","11 - 20 years",223000
"Aerospace Engineer","2 - 4 years",156000
"aerospace engineer","21 - 30 years",108870
"AEROSPACE ENGINEER","41 years or more",120000
"Aerospace Engineer","5-7 years",225500
"Aerospace engineer","8 - 10 years",105000
"Aerospace engineer ","5-7 years",104000
"aerospace machinist ","11 - 20 years",85400
"Aerospace Planning Analyst","8 - 10 years",72300
"Affiliate account manager ","2 - 4 years",115000
"Affiliate Recruiter","2 - 4 years",50050
"Affordable Housing Manager","8 - 10 years",67000
"After School Program Leader","8 - 10 years",27000
"Aftermarket Sales Manager","8 - 10 years",53980
"Agency Attorney","5-7 years",86400
"Agency Attorney","8 - 10 years",91000
"Agency Buyer","5-7 years",39000
"Agency Cost Allocation Accountant","31 - 40 years",70720
"Agency Recruiter ","2 - 4 years",73000
"Agent ","11 - 20 years",29000
"Aggregation Quality Analyst","5-7 years",63120
"Agile Coach","11 - 20 years",193000
"Agile Coach","21 - 30 years",166000
"Agile Coach","31 - 40 years",100000
"Agile Journey Owner","21 - 30 years",157000
"Agile Project Management","11 - 20 years",94000
"Agile team lead","11 - 20 years",106000
AGM,"11 - 20 years",130000
"Agricultural Supply line Negotiating consultant","2 - 4 years",1160000
Agriculturist,"11 - 20 years",120000
"Agronomist ","2 - 4 years",97500
"AI consultant","8 - 10 years",133500
"Air Export Supervisor","8 - 10 years",66500
"Air Force Fighter Pilot","11 - 20 years",169000
"Air Traffic Control Specialist","5-7 years",105000
"Air Traffic Controller","21 - 30 years",215000
"Air traffic controller ","2 - 4 years",217000
"Aircraft Dispatcher","8 - 10 years",150000
"Aircraft Maintenance Technician","5-7 years",57080
"Airline Operations","8 - 10 years",62000
"Airport Security Officer","2 - 4 years",40000
"Airworthiness Engineer","21 - 30 years",93000
"All Source Intelligence Analyst ","8 - 10 years",110000
"Alliance Manager","8 - 10 years",104400
"Alumni Relations Coordinator","5-7 years",72000
"Alumni Relations Officer","11 - 20 years",60380
"Alumni Relations Officer","2 - 4 years",63140
"Amazon Timekeeping HR Admin","2 - 4 years",1002000
"Ambulatory care pharmacist","8 - 10 years",161810
Analyst,"1 year or less",888700
analyst,"11 - 20 years",2279256
Analyst,"2 - 4 years",911290
Analyst,"21 - 30 years",382000
Analyst,"5-7 years",884100
Analyst,"8 - 10 years",731080
"Analyst ","11 - 20 years",309000
"Analyst ","2 - 4 years",42000
"Analyst ","5-7 years",81000
"Analyst II","2 - 4 years",78000
"Analyst Manager","8 - 10 years",71500
"Analyst programmer","21 - 30 years",51500
"Analyst, principal ","8 - 10 years",181000
"Analyst/ Supervisor","2 - 4 years",91000
"Analyst/Technical Account Manager","11 - 20 years",85000
"Analysts ","21 - 30 years",175000
"Analytic Consultant","21 - 30 years",100000
"Analytic Science Specialist","2 - 4 years",105000
"Analytical Assistant Team Supervisor","8 - 10 years",65877
"Analytical Biologist","8 - 10 years",102000
"Analytical Investigator","11 - 20 years",70000
"Analytical Linguist","5-7 years",145000
"Analytical technical services manager","8 - 10 years",75000
Analytics,"11 - 20 years",180000
"Analytics Engineer","11 - 20 years",108000
"Analytics Manager","11 - 20 years",275000
"Analytics Manager","2 - 4 years",73000
"Analytics Manager","5-7 years",703000
"Analytics Manager","8 - 10 years",595600
"Analytics Manager Sr","8 - 10 years",157500
"Analytics Manager, Strategic Planning","21 - 30 years",91000
"Analytics Specialist","11 - 20 years",132500
"Android Engineer","2 - 4 years",92500
Anesthesiologist,"5-7 years",300000
"Animal Care and Research Technician ","11 - 20 years",45000
"Animal care technician","2 - 4 years",53300
"Animal Care Worker","11 - 20 years",26200
"Animal Caregiver","5-7 years",25010
"Animal Control Officer","11 - 20 years",82908
"Animal Curator","21 - 30 years",50000
"Animal keeper","21 - 30 years",32000
Animator,"5-7 years",68000
"Annual Fund and Database Manager","11 - 20 years",52500
"Annual Fund Manager","11 - 20 years",108250
"Annual Fund Manager","8 - 10 years",66000
"AP Senior Anaylst","11 - 20 years",68151
"AP/Payroll coordinator","21 - 30 years",41350
"APAC Digital Marketing Specialist","8 - 10 years",126500
"Apparel Designer","8 - 10 years",95000
"Apparel Technical Designer","5-7 years",52100
"Apparel technical designer","8 - 10 years",151000
"Appeal adjudicator","11 - 20 years",50560
"Appellate attorney","11 - 20 years",77586
"Appellate Judicial Law Clerk","2 - 4 years",68000
"Apple Technology Specialist","11 - 20 years",29120
"Appliance specialist","31 - 40 years",33530
"Application Analyst","1 year or less",60000
"Application Analyst","11 - 20 years",250000
"Application Architect","11 - 20 years",162000
"Application Consultant ","21 - 30 years",85000
"Application Developer","2 - 4 years",99000
"Application Developer","21 - 30 years",82000
"Application Developer","5-7 years",74750
"Application Developer","8 - 10 years",160780
"Application Developer Senior","31 - 40 years",167000
"Application Development Analyst","1 year or less",73625
"Application Development Analyst","2 - 4 years",59500
"Application Engineer","8 - 10 years",89200
"Application Engineer Lead","31 - 40 years",110000
"Application Portfolio Manager","11 - 20 years",109000
"Application Specialist","21 - 30 years",107500
"Application Support Analyst","8 - 10 years",42500
"Application Support Engineer","11 - 20 years",157000
"Application Support Engineer","8 - 10 years",67275
"Application Support Engineer Expert","21 - 30 years",50500
"Application Support Manager","11 - 20 years",127000
"Application Support Manager","21 - 30 years",94000
"Application Support Specialist","11 - 20 years",55000
"Application Support Specialist II","11 - 20 years",85000
"Application Support Technician II","21 - 30 years",67500
"Application Systems Analyst","11 - 20 years",70500
"Application Technica Analyst","11 - 20 years",89000
"Application Trainer Advanced ","11 - 20 years",49500
"Application Trainer Advanved ","11 - 20 years",49500
"Applications Administrator","21 - 30 years",74500
"Applications Developer","31 - 40 years",123400
"Applications Engineer","2 - 4 years",96000
"Applications Engineer","5-7 years",191193
"Applied cryptographer","2 - 4 years",165100
"Applied Data Scientist","1 year or less",75000
"appraiser assistant","8 - 10 years",56000
"Apprentice business administrator ","1 year or less",18500
"Apprentice Finish Carpenter","2 - 4 years",36500
"Apprentice Mechanic for Construction Machinery","2 - 4 years",11900
"Apprentice Technical Systems Analyst","2 - 4 years",25000
APRN,"2 - 4 years",118000
Aquarist,"5-7 years",35100
"Aquatic Supervisor","21 - 30 years",76000
"Aquatics Director","5-7 years",67000
"Aquatics Director ","8 - 10 years",47000
"AR Administrative Assistant","2 - 4 years",43638
"AR Collector","11 - 20 years",32240
"AR Manager","21 - 30 years",53000
"AR Systems Specialist","11 - 20 years",62000
"Arbitration Rep","5-7 years",56000
Arborist,"2 - 4 years",48000
Archaeologist,"11 - 20 years",162583
Archaeologist,"21 - 30 years",56388
Archaeologist,"5-7 years",187000
"Archaeologist ","11 - 20 years",78000
Architect,"11 - 20 years",630958
Architect,"2 - 4 years",156000
Architect,"21 - 30 years",120000
Architect,"5-7 years",35000
Architect,"8 - 10 years",181000
"Architect ","11 - 20 years",345000
"Architect ","8 - 10 years",90000
"Architect, Quality Engineering","8 - 10 years",142500
"Architect, Senior Project Manager ","11 - 20 years",115000
"Architectural Associate","11 - 20 years",58000
"Architectural Designer","2 - 4 years",193100
"Architectural Designer","21 - 30 years",61500
"Architectural Designer","5-7 years",130772
"Architectural Designer","8 - 10 years",55000
"Architectural Designer ","2 - 4 years",58000
"Architectural Drafting Technician II","11 - 20 years",64215
"Architectural Historian","2 - 4 years",41000
"Architectural intern","2 - 4 years",46000
"Architectural Project Coordinator ","2 - 4 years",60000
"Architectural Project Manager","21 - 30 years",77000
"Architectural Project Manager/Designer","8 - 10 years",79000
"Architectural Technologist","5-7 years",58000
"Architectural Technologist","8 - 10 years",47775
"Archive Assistant","11 - 20 years",21179
"Archive photo manager","2 - 4 years",28000
"Archives & Records Manager","11 - 20 years",52000
"Archives assistant","11 - 20 years",24000
"Archives Assistant","5-7 years",37500
"Archives Supervisor","31 - 40 years",97282
"Archives technician","8 - 10 years",37000
Archivist,"11 - 20 years",521005
Archivist,"21 - 30 years",194400
Archivist,"5-7 years",132740
Archivist,"8 - 10 years",242400
"Archivist ","5-7 years",96322
"Archivist -- Project Manager","5-7 years",70000
"Archivist/Records Manager","8 - 10 years",55000
"Area Coordinator ","8 - 10 years",108796
"Area Director of Revenue Management","11 - 20 years",90000
"Area Lead Process Engineer","11 - 20 years",132000
"Area Manager","11 - 20 years",305000
"Area Manager","2 - 4 years",144400
"Area Manager","5-7 years",55000
"Area Retail Sales Manager","5-7 years",98000
"Area Sales Manager","8 - 10 years",75500
"Armored Car Driver","8 - 10 years",36112
ARNP,"11 - 20 years",142500
"Art Curator and Professor","8 - 10 years",410000
"Art Director","11 - 20 years",414804
"Art Director","2 - 4 years",49600
"Art Director","21 - 30 years",230000
"Art Director","5-7 years",185000
"Art Director ","21 - 30 years",82500
"Art Director of (sub category)","11 - 20 years",315000
"Art Gallery Manager ","2 - 4 years",50000
"Art teacher","11 - 20 years",43800
"Art-in-Architecture Manager","31 - 40 years",93132
"Articling Student","1 year or less",65500
"Articling Student","2 - 4 years",88400
"Artist Manager","11 - 20 years",67000
"Artist Relations & Communications Manager","5-7 years",57000
"Artistic Director","21 - 30 years",42000
"Artistic Planning Manager","5-7 years",41500
"Arts Director","11 - 20 years",120000
"Arts Education Director","2 - 4 years",19100
"Arts Producer","8 - 10 years",72000
"Asia Pacific Sales Manager","5-7 years",75000
"Asisstant Professor","11 - 20 years",68000
"ASL Interpreter and Transcriber","11 - 20 years",62000
"assembly worker","41 years or more",43476
"Assessment Associate","5-7 years",58500
"Assessment Coordinator","11 - 20 years",45000
"Assessment Coordinator","21 - 30 years",110000
"Assessment Coordinator/Analyst","5-7 years",49275
"Assessment Developer ","11 - 20 years",83500
